dataset_id,dataset_name,pipeline_role,scenario_complexity,evaluation_protocol,deployment_readiness,benchmark_limitation,pspr_comment
R009,CUHK-SYSU,Detector-aware identity modelling,"Scene diversity, detection difficulty, and identity retrieval coupled in full images",Person-search mAP and top-k / Rank-style metrics; Person-search detection plus retrieval protocol,Large-scale full-scene person search,Does not directly evaluate online temporal tracking or trajectory continuity,CUHK-SYSU is interpreted as a person re-id/person-search dataset because it mainly supports detector-aware identity modelling in the tracking-by-detection pipeline.
T001,PETS 2009,Early surveillance tracking benchmark,"Multi-person tracking, occlusion, and crowd interactions in controlled surveillance settings",Tracking metrics; protocol-dependent; Protocol-dependent,Video surveillance scenes,"Limited in scale, diversity, and modern annotation richness",PETS 2009 is interpreted as a core tracking benchmark because it mainly supports early surveillance tracking benchmark in the tracking-by-detection pipeline.
T002,TUD Multiview,Early pedestrian tracking benchmark,Pedestrian localization and short-term identity maintenance across views,Tracking metrics; protocol-dependent; Protocol-dependent,Multi-view pedestrian scenes,Small and less representative of modern large-scale MOT settings,TUD Multiview is interpreted as a core tracking benchmark because it mainly supports early pedestrian tracking benchmark in the tracking-by-detection pipeline.
T003,KITTI Tracking,Driving-scene tracking benchmark,"Moving-camera tracking of pedestrians, cars, and road users under ego-motion",Tracking metrics; KITTI protocol-dependent; Benchmark protocol-dependent,Autonomous driving and road scenes,Not primarily a dense multi-person tracking benchmark,KITTI Tracking is interpreted as a core tracking benchmark because it mainly supports driving-scene tracking benchmark in the tracking-by-detection pipeline.
T004,PETS 2015,Surveillance and event-oriented tracking benchmark,Multi-object tracking under event-focused surveillance scenarios,Tracking metrics; protocol-dependent; Protocol-dependent,"Video surveillance with people, vehicles, and boats",Limited scale compared with recent large benchmarks,PETS 2015 is interpreted as a core tracking benchmark because it mainly supports surveillance and event-oriented tracking benchmark in the tracking-by-detection pipeline.
T005,MOT15,Early MOTChallenge benchmark,"Detection quality, identity switches, and short-term pedestrian association","MOTA, IDF1, identity switches, fragmentation, and related MOT metrics; MOTChallenge protocol",Mixed pedestrian tracking scenes,Smaller and less standardized than later MOTChallenge datasets,MOT15 is interpreted as a core tracking benchmark because it mainly supports early motchallenge benchmark in the tracking-by-detection pipeline.
T006,MOT16,Single-camera pedestrian tracking,"Detection quality, occlusion handling, and identity association","MOTA, IDF1, ID switches, fragmentation, and related MOT metrics; MOTChallenge protocol",Urban pedestrian tracking,Smaller and less diverse than later MOTChallenge releases,MOT16 is interpreted as a core tracking benchmark because it mainly supports single-camera pedestrian tracking in the tracking-by-detection pipeline.
T007,MOT17,Single-camera pedestrian tracking,"Detection quality, moderate occlusion, and identity switches","MOTA, IDF1, HOTA/DetA/AssA on modern leaderboards, ID switches, fragmentation; Public-detection and private-detection protocols",Urban pedestrian tracking,Limited long-term re-entry and environmental diversity,MOT17 is interpreted as a core tracking benchmark because it mainly supports single-camera pedestrian tracking in the tracking-by-detection pipeline.
T008,DukeMTMC,Multi-camera multi-target tracking,Cross-camera identity association and long-range multi-camera tracking,Multi-camera tracking and identity-association metrics; protocol-dependent; Protocol-dependent,Campus surveillance network,Access and usage constraints limit current benchmark availability,DukeMTMC is interpreted as a core tracking benchmark because it mainly supports multi-camera multi-target tracking in the tracking-by-detection pipeline.
T009,PathTrack,Trajectory annotation and pedestrian tracking support,"Longer trajectory annotation, path supervision, and pedestrian motion continuity",Tracking metrics; protocol-dependent; Protocol-dependent,Pedestrian video tracking scenes,Less commonly used as a central benchmark for modern MPT comparison,PathTrack is interpreted as a core tracking benchmark because it mainly supports trajectory annotation and pedestrian tracking support in the tracking-by-detection pipeline.
T010,WildTrack,Multi-camera pedestrian tracking,"Cross-camera calibration, multi-view localization, and identity consistency",Multi-camera detection/localization/tracking metrics; protocol-dependent; Protocol-dependent,Multi-view surveillance,Limited scene scale and environmental variation,WildTrack is interpreted as a core tracking benchmark because it mainly supports multi-camera pedestrian tracking in the tracking-by-detection pipeline.
T011,CityFlow,Multi-camera tracking,"Cross-camera association, re-entry, and viewpoint change",Multi-camera tracking / retrieval metrics; protocol-dependent; Protocol-dependent,Urban traffic camera network,Primarily traffic-oriented and has limited person-centric tracking focus,CityFlow is interpreted as a core tracking benchmark because it mainly supports multi-camera tracking in the tracking-by-detection pipeline.
T012,UA-DETRAC,Traffic-scene detection and tracking benchmark,"Vehicle detection, tracking, illumination variation, and traffic density",Detection and tracking metrics; protocol-dependent; Protocol-dependent,Traffic surveillance videos,Vehicle-focused rather than person-centric,UA-DETRAC is interpreted as a core tracking benchmark because it mainly supports traffic-scene detection and tracking benchmark in the tracking-by-detection pipeline.
T013,MOTS / KITTI-MOTS,Segmentation-aware tracking evaluation,"Joint object segmentation, tracking, and identity preservation",MOTS metrics and tracking/segmentation metrics; protocol-dependent; Protocol-dependent,Driving-scene segmentation tracking,Focused on cars and pedestrians in driving scenes rather than dense multi-person tracking,MOTS / KITTI-MOTS is interpreted as a core tracking benchmark because it mainly supports segmentation-aware tracking evaluation in the tracking-by-detection pipeline.
T014,MOT20,Crowded-scene tracking,"Severe occlusion, high density, and overlapping pedestrians","MOTA, IDF1, HOTA/DetA/AssA on modern leaderboards, ID switches, fragmentation; Public-detection and private-detection protocols; challenge-dependent",Dense pedestrian crowds,Mainly focuses on dense crowds with limited scenario diversity,MOT20 is interpreted as a core tracking benchmark because it mainly supports crowded-scene tracking in the tracking-by-detection pipeline.
T015,TAO,Long-term and open-world tracking evaluation,"Long-term tracking, category diversity, and object reappearance",TAO tracking metrics; protocol-dependent; Open-world / long-tail protocol-dependent,Diverse long videos,Less specialized for dense multi-person pedestrian tracking,TAO is interpreted as a core tracking benchmark because it mainly supports long-term and open-world tracking evaluation in the tracking-by-detection pipeline.
T016,BDD100K,Driving-scene tracking benchmark,"Moving camera, weather, illumination, and road-scene diversity",Detection/tracking metrics; BDD100K task-dependent; Benchmark protocol-dependent,Autonomous driving and traffic,Person tracking is only one component of a broader traffic-object setting,BDD100K is interpreted as a core tracking benchmark because it mainly supports driving-scene tracking benchmark in the tracking-by-detection pipeline.
T017,Head Tracking 21,Dense crowd head tracking,Head-level tracking under extreme crowd density and occlusion,Tracking metrics; protocol-dependent; Protocol-dependent,Crowded pedestrian scenes,Does not provide complete full-body person trajectories,Head Tracking 21 is interpreted as a core tracking benchmark because it mainly supports dense crowd head tracking in the tracking-by-detection pipeline.
T018,MOTSynth,Synthetic training and tracking benchmark,"Controlled variation in viewpoint, density, lighting, and identity",Detection/tracking/segmentation metrics; protocol-dependent; Protocol-dependent,Simulated urban scenes,Synthetic-to-real domain gap may affect real-world generalization,MOTSynth is interpreted as a core tracking benchmark because it mainly supports synthetic training and tracking benchmark in the tracking-by-detection pipeline.
T019,DanceTrack,Association-focused tracking,"Similar appearance, nonlinear motion, and weak appearance cues","HOTA, DetA, AssA, MOTA, IDF1, and related MOT metrics; protocol-dependent; Benchmark protocol-dependent",Dancing and motion-heavy scenes,Less representative of conventional surveillance or traffic deployment,DanceTrack is interpreted as a core tracking benchmark because it mainly supports association-focused tracking in the tracking-by-detection pipeline.
T020,SportsMOT,Sports tracking,"Fast motion, similar uniforms, camera panning, and frequent interactions","MOT metrics such as HOTA, MOTA, IDF1; protocol-dependent; Benchmark protocol-dependent",Team sports videos,Domain-specific and may not generalize to surveillance or traffic scenes,SportsMOT is interpreted as a core tracking benchmark because it mainly supports sports tracking in the tracking-by-detection pipeline.
