dataset_id,dataset_name,dataset_family,primary_role_code,secondary_role_codes,primary_role_label,scenario_complexity_score_0_6,scenario_complexity_basis,evaluation_protocol_score_0_4,evaluation_protocol_basis,deployment_readiness_score_0_5,deployment_readiness_basis,benchmark_limitation_severity_0_3,main_limitation,pspr_interpretation
R009,CUHK-SYSU,Re-ID/person-search,PS,REID;DET,Detector-aware identity modelling/person search,3,"Scene diversity, detection difficulty, distractors, and identity retrieval in full images",3,Person-search mAP/top-k protocol with detection plus retrieval,3,Large-scale full-scene person search with deployment-relevant retrieval structure,2,Does not directly evaluate online temporal tracking or trajectory continuity,"Useful for person-search pipelines, but not a replacement for trajectory-level MPT benchmarks."
T001,PETS 2009,Core tracking benchmark,SCT,,Early surveillance tracking benchmark,3,"Multi-person tracking, occlusion, crowd interaction, and surveillance-camera viewpoints",2,"Tracking metrics and benchmark tasks, but less standardized than modern MOTChallenge-style protocols",2,Real surveillance scenes but limited scale and scenario diversity,2,"Limited in scale, diversity, and modern annotation richness",Useful as an early surveillance tracking benchmark but limited for modern large-scale comparison.
T002,TUD Multiview,Core tracking benchmark,MCT,SCT,Early pedestrian multi-view tracking benchmark,2,Pedestrian localization and short-term identity maintenance across views,2,"Tracking protocol available, but limited modern benchmark support",2,Multi-view pedestrian scenes with limited dataset scale,2,Small and less representative of modern large-scale MOT settings,"Useful for early multi-view pedestrian tracking, but not a modern comprehensive benchmark."
T003,KITTI Tracking,Core tracking benchmark,DRV,SCT,Driving-scene tracking benchmark,3,"Moving-camera tracking, scale variation, road-user interactions, and ego-motion",4,"Official benchmark protocol, task-appropriate metrics, and public evaluation support",4,Real autonomous-driving scenes with moving-camera relevance,2,Not primarily a dense multi-person pedestrian tracking benchmark,Appropriate for driving-scene tracking and ego-motion contexts rather than dense surveillance MPT.
T004,PETS 2015,Core tracking benchmark,SCT,,Surveillance and event-oriented tracking benchmark,3,Multi-object tracking under event-focused surveillance scenarios,2,Tracking metrics/protocols available but less central in modern MPT leaderboard comparison,2,Real surveillance/event video with limited scale,2,Limited scale compared with recent large benchmarks,"Relevant to event-oriented surveillance tracking, but limited compared with modern MOT datasets."
T005,MOT15,Core tracking benchmark,SCT,,Early MOTChallenge benchmark,3,"Detection quality, identity switches, occlusion, and short-term pedestrian association",4,"MOTChallenge-style protocol with MOTA, IDF1, ID switches, and leaderboard support",2,Mixed pedestrian tracking scenes but smaller than later MOTChallenge releases,2,Smaller and less standardized than later MOTChallenge datasets,Useful as an early MOT benchmark; later MOT16/MOT17 are stronger for current comparison.
T006,MOT16,Core tracking benchmark,SCT,,Single-camera pedestrian tracking,3,"Detection quality, occlusion handling, and identity association",4,MOTChallenge protocol with identity-sensitive metrics and leaderboard support,3,Urban pedestrian tracking scenes with public/private detection relevance,1,Less diverse than later or more specialized datasets,Standard pedestrian MOT benchmark for controlled comparison of tracking methods.
T007,MOT17,Core tracking benchmark,SCT,,Single-camera pedestrian tracking,3,"Detection quality, moderate occlusion, identity switches, and pedestrian association",4,"MOTChallenge public/private detection protocols, MOTA/IDF1/HOTA-style metrics, and leaderboard support",3,Urban pedestrian tracking with standardized evaluation,1,Limited long-term re-entry and environmental diversity,Core single-camera pedestrian MOT benchmark for public/private detection protocol interpretation.
T008,DukeMTMC,Core tracking benchmark,MCT,REID,Multi-camera multi-target tracking,4,"Cross-camera identity association, occlusion, re-entry, and long-range multi-camera tracking",3,Multi-camera tracking/identity metrics and protocols; current access restrictions affect use,3,Campus surveillance network with cross-camera structure,3,Access and usage constraints limit current benchmark availability,"Important historical multi-camera benchmark, but current use requires governance and access caution."
T009,PathTrack,Core tracking benchmark,LTT,SCT,Trajectory annotation and pedestrian tracking support,4,"Longer trajectory annotation, path supervision, and pedestrian motion continuity",2,"Tracking-style protocol information, but less established as a central modern leaderboard",3,Pedestrian video tracking scenes with longer path-oriented structure,2,Less commonly used as a central benchmark for modern MPT comparison,"Relevant for trajectory/path continuity studies, but not a dominant standard benchmark."
T010,WildTrack,Core tracking benchmark,MCT,DET,Multi-camera pedestrian tracking/localization,3,"Cross-camera calibration, multi-view localization, identity consistency, and crowd interactions",3,Multi-camera detection/localization/tracking protocol with calibrated views,3,Multi-view surveillance with synchronized cameras,2,Limited scene scale and environmental variation,Useful for calibrated multi-camera pedestrian localization and cross-view identity consistency.
T011,CityFlow,Core tracking benchmark,MCT,DRV,Multi-camera tracking in urban traffic settings,4,"Cross-camera association, re-entry, viewpoint change, and traffic-camera variation",4,Official challenge-style evaluation with multi-camera tracking/retrieval protocols,4,Urban traffic camera network with deployment-relevant cross-camera re-entry,2,Primarily traffic-oriented with limited person-centric tracking focus,"Useful for cross-camera traffic tracking and re-entry evaluation, but not primarily pedestrian MPT."
T012,UA-DETRAC,Core tracking benchmark,DRV,,Traffic-scene detection and tracking benchmark,4,"Vehicle detection, tracking, illumination variation, weather/traffic density, and surveillance viewpoints",4,Detection and tracking metrics with official benchmark-style evaluation,4,Real traffic surveillance videos with diverse scene conditions,2,Vehicle-focused rather than person-centric,"Useful for traffic tracking and detection/tracking protocol analysis, not a pedestrian MPT benchmark."
T013,MOTS / KITTI-MOTS,Core tracking benchmark,DRV,SCT,Segmentation-aware tracking evaluation,3,"Joint object segmentation, tracking, identity preservation, and driving-scene camera motion",4,MOTS and tracking/segmentation metrics with benchmark protocols,4,Driving-scene segmentation tracking with richer pixel-level annotation,2,Focused on cars and pedestrians in driving scenes rather than dense multi-person tracking,"Useful when segmentation-aware tracking is required, especially in driving-scene evaluation."
T014,MOT20,Core tracking benchmark,DCT,SCT,Crowded-scene pedestrian tracking,4,"Severe occlusion, high density, overlapping pedestrians, and identity switches under crowding",4,MOTChallenge public/private detection protocols and MOTA/IDF1/HOTA-style metrics,3,Dense pedestrian crowd scenes with strong crowding realism,1,Mainly focuses on dense crowds with limited scenario diversity,Best suited for evaluating dense-crowd pedestrian tracking and occlusion-induced association failures.
T015,TAO,Core tracking benchmark,LTT,,Long-term and open-world tracking evaluation,5,"Long-term tracking, category diversity, target disappearance/reappearance, and open-world conditions",4,Tracking protocol with long-tail/open-world benchmark support,5,Diverse long videos with strong open-world and deployment-like variation,1,Less specialized for dense multi-person pedestrian tracking,"Strong resource for long-term/open-world tracking, re-entry, and long-tail evaluation."
T016,BDD100K,Core tracking benchmark,DRV,,Driving-scene tracking benchmark,4,"Moving camera, weather, illumination, road-scene diversity, and traffic-object variation",4,Task-specific detection/tracking protocols with benchmark support,5,"Large-scale driving scenes with diverse weather, time, and road conditions",1,Person tracking is only one component of a broader traffic-object setting,"Strong deployment-oriented driving benchmark, but not exclusively person-centric."
T017,Head Tracking 21,Core tracking benchmark,DCT,,Dense crowd head tracking,4,"Head-level tracking under extreme crowd density, occlusion, and small-object conditions",3,Tracking protocol with head-level localization/identity evaluation,3,Crowded pedestrian scenes with strong crowd-monitoring relevance,2,Does not provide complete full-body person trajectories,"Useful for extreme crowd head tracking, but not a full-body pedestrian MPT replacement."
T018,MOTSynth,Core tracking benchmark,SYN,SCT,Synthetic training and tracking benchmark,4,"Controlled variation in viewpoint, density, lighting, segmentation, and identity",3,Detection/tracking/segmentation annotations with synthetic benchmark protocols,4,Scalable synthetic urban scenes with controlled variation; real-world transfer must be verified,2,Synthetic-to-real domain gap may affect real-world generalization,"Useful for scalable training and controlled annotation, but should be validated on real datasets."
T019,DanceTrack,Core tracking benchmark,SMT,SCT,Association-focused motion-heavy tracking,4,"Similar appearance, nonlinear motion, frequent interaction, and weak appearance cues",4,"HOTA, DetA, AssA, MOTA, IDF1, and association-sensitive tracking metrics",3,Motion-heavy videos useful for stressing association robustness,1,Less representative of conventional surveillance or traffic deployment,Best suited for testing identity association under similar appearance and complex motion.
T020,SportsMOT,Core tracking benchmark,SMT,SCT,Sports and motion-heavy tracking,4,"Fast motion, similar uniforms, camera panning, and frequent interactions",4,"MOT metrics such as HOTA, MOTA, IDF1 with benchmark-style evaluation",3,Team-sports video with strong motion and interaction realism,1,Domain-specific and may not generalize to surveillance or traffic scenes,Useful for sports analytics and motion-heavy association benchmarking.
